"coefficient","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"A11",-0.000180563617107591,0.00104799573700416,-0.00447443037562684,-0.000614495008612717,0.00418838377932378,0.0046944827395937,-0.00848717795883891,0.00260171406456271,0.0102307328594081,0.00830834764898642,-0.0143584847818294,0.00186107642917149,0.004004789420378,0.00671325298544375,0.00707696110633608,-0.00836555233967843,0.00619255660299932,0.0199024524809782,0.00535375593683222,-0.0147672858105922,-0.013666452767034,0.0290161332957098,-0.0407069450509703,-0.0537433965416378,0.0299941013575312,0.0700878533734942
"A12",0.000695791477971575,-0.00120601044472453,0.00343722309494285,-0.00294709238755137,-0.000812370547887775,-0.00382287481603039,0.00187374712918352,0.00218364206690315,-0.00276045790334028,0.0086798857834522,0.0043884927907264,0.0039503027041007,-0.0147649020448341,0.00681799025705209,-0.00163796710707772,0.017576832941349,-0.00292166469370204,0.00586207626903612,-0.023381746415461,0.00406775936569085,0.021523553264656,-0.0233710700374383,0.0140158189338884,0.0182630302216836,-0.0537915798269746,-0.0366137691875275
"A13",-0.000865293815512468,0.000460484477876302,-0.00275259598253556,0.0045046391645509,-0.00374248972214504,-0.00115480956804115,-0.00221700726854467,-0.00775421818489312,0.00581393802718427,0.000442465498604922,0.0162264190637514,0.00279707145043075,0.00838101087016276,0.0110501043218731,0.0182608968659247,0.0157824721568197,-0.000640993881231595,-0.0232048032851998,0.0244978311925104,-0.000470398820228012,-0.00952011309066987,-0.0362565037010896,-0.0333891706422263,0.0339098280975254,0.0139130912590918,-0.0415369739292197
"A14",0.00102152729099922,-0.000696589071235652,0.00123531755104484,-0.00517929010254725,0.00370184081301403,0.00664938644303265,0.00824286603451988,0.00101087650875737,-0.00492017334501728,-0.00471047926379662,-0.0049304338944998,-0.00809310263265245,0.00916732108456879,-0.00375985783614777,-0.00179028781952764,-0.0124212557718629,0.00214775920990746,-0.0229805292753106,-0.0207444876886642,0.0220029951073262,0.0415835606476016,0.0556353650756272,-0.00552227656560199,-0.0343769581827588,-0.00868723923749905,-0.00850448383589697
"A15",7.88992646597498e-05,-0.000674564081640305,-0.000355727526580475,0.00254981061486868,-0.00621679335051625,-0.0049493896080718,-0.00173360022282583,-0.00148402237304482,0.00491119218370955,-0.00202361125671039,0.0131066328382446,0.0166815317520598,-0.00791255917903918,-0.0275585312444269,-0.0108520197688862,-0.0099479301012564,0.00723613062697119,0.0140096405769431,-0.0166196478416493,0.0046356097300684,0.00234711572411629,-0.0644510757900005,0.00414463344491618,-0.0125500636386082,-0.0504401613900983,0.0374317360604598
"B1",-0.664200975650691,-0.0103648981917626,-0.1039326271069,-0.136430984036398,0.0714324340082525,-0.00495280695531775,0.0649342214937535,-0.035293909193763,0.00615658596618908,0.00445372062169603,-0.0498964766197723,0.0409244493161776,0.0933505991024858,0.0137194836462914,-0.0846502032971961,0.127624271099001,0.0979449753714242,-0.0930989029306718,-0.196797341951631,0.103409598166914,0.109211216712147,-0.104190740795799,0.422791927520109,-0.219623618888064,0.170849685189683,-0.262691228687147
"B2",0.10666592131027,-0.35338076910935,-0.123242528395947,-0.355658441907066,-0.377041450408431,-0.128104548505138,0.186658155431325,-0.24889390131587,0.515203776092506,0.242999493650044,-0.175618518417355,0.121270691735419,0.102920652406558,0.0749088564482417,-0.191314431000781,-0.0553951131636485,-0.084730011667525,-0.0886495873065493,0.00125400457055038,0.0200853753777812,-0.0211784612861797,0.00412100235135306,-0.0477974211536478,-0.0532774980151005,0.0349660296826703,0.0689305864034546
"B3",0.088470348501235,-0.213311443948232,0.44092126019915,0.330987392662643,0.152880483850566,0.124643283886931,0.190640101079537,-0.407208184332847,0.00156171515876435,-0.164151067098246,-0.305032291503815,0.139417691833716,-0.000335405644150922,-0.198594994620725,-0.0937408591522703,0.306413739435329,-0.150342527190252,-0.0768946254697433,-0.192919723581664,0.0417310998086143,0.0500850691859722,0.0112799690339048,0.041236708618353,0.177355960047926,0.0817297958493502,-0.000408115498420993
"B4",0.175786019644087,0.177661359906294,-0.208693864290896,-0.177352675683984,0.609358704917287,-0.0505983215138841,0.299688336811723,-0.0337436561203036,-0.0416984854816481,0.149464825966732,0.088165126044282,0.371136629908681,0.32110781623355,-0.102914936035741,-0.207874973961669,0.0407298246442464,0.0277706031206678,0.0199308231963709,0.0921278327623764,0.0194966850771637,-0.127988976726255,-0.0763971957866695,-0.0557395519036395,0.0246380500630875,-0.00931399747733014,-0.0652369361167669
"B5",-0.0231603543842517,-0.0190628412973918,-0.159490382470046,0.313203701208991,0.0228403918352361,-0.552501217490867,0.128995834990374,0.161391649015211,0.11600497975256,-0.138844284953116,-0.198307021791968,0.182122308876591,-0.324496846284944,-0.0165408917063998,-0.00530608546162102,-0.0219473593449252,-0.125994455813101,0.0374558878306189,0.35163397460456,0.277182458346589,0.0212665384518615,0.0140136691708605,0.0207260932334594,-0.0592836355440259,0.0491447859786572,-0.183780612205847
